Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
BENTLEY,Gasoline,12,19,12
BENTLEY,Gasoline,16,14,9
BENTLEY,Gasoline,16,14,9
BENTLEY,Gasoline,8,23,15
BENTLEY,Gasoline,8,23,15
BENTLEY,Gasoline,8,22,15
BENTLEY,Gasoline,8,22,15
BENTLEY,Gasoline,12,18,12
BENTLEY,Gasoline,12,18,12
BENTLEY,Gasoline,12,20,12
BENTLEY,Gasoline,12,20,12
BENTLEY,Gasoline,8,22,15
BENTLEY,Gasoline,8,22,15
BENTLEY,Gasoline,12,19,12
BENTLEY,Gasoline,12,19,12
BENTLEY,Gasoline,6,22,17
